Number,Frequency,PickedNumber,PickedFrequency
1,1 219,1,81 212
2,1 177,2,82 555
3,1 148,3,102 914
4,1 240,4,91 223
5,1 186,5,102 717
6,1 240,6,94 914
7,1 186,7,116 481
8,1 206,8,84 961
9,1 216,9,103 753
10,1 159,10,87 329
11,1 235,11,95 321
12,1 212,12,90 927
13,1 173,13,95 968
14,1 173,14,70 613
15,1 179,15,70 889
16,1 164,16,79 580
17,1 225,17,99 149
18,1 144,18,94 490
19,1 149,19,93 190
20,1 182,20,76 424
21,1 253,21,83 282
22,1 204,22,71 506
23,1 116,23,87 983
24,1 202,24,88 212
25,1 213,25,90 422
26,1 176,26,83 397
27,1 159,27,87 646
28,1 218,28,78 891
29,1 221,29,67 269
30,1 208,30,74 769
31,1 134,31,81 482
32,1 175,32,76 080
33,1 189,33,86 779
34,1 249,34,69 589
35,1 200,35,60 356
36,1 182,36,55 780
37,1 225,37,65 975
38,1 181,38,65 822
39,1 171,39,67 040
40,1 138,40,62 868
41,1 145,41,65 576
42,1 188,42,62 797
43,1 180,43,60 832
44,1 265,44,61 348
45,1 202,45,58 974
46,1 212,46,59 435
47,1 180,47,60 287
48,1 227,48,56 586
49,1 238,49,64 149
